	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Cos'è amazon codeguru?	Amazon CodeGuru contiene due componenti: Amazon CodeGuru Security e il profilatore Amazon CodeGuru. CodeGuru Security è uno strumento basato sul machine learning (ML) e sull'analisi dei programmi che rileva le vulnerabilità di sicurezza nel codice Java, Python e JavaScript. CodeGuru Security analizza anche le credenziali codificate. Il profilatore CodeGuru ottimizza le prestazioni delle applicazioni eseguite in produzione e identifica le righe di codice più costose, riducendo significativamente i costi operativi.													
Come inizio a utilizzare codeguru?	CodeGuru è ora disponibile al pubblico. Puoi iniziare a utilizzarlo subito nella console di Amazon CodeGuru.													
In quali regioni aws è disponibile codeguru?	Per le regioni supportate, consulta la tabella delle Regioni AWS per l'infrastruttura globale AWS. Per ulteriori informazioni, consulta la pagina Regions and Endpoints nel documento AWS General Reference.													
Cos'è amazon codeguru security?	CodeGuru Security è uno strumento di scansione del codice basato sul machine learning e sull'analisi dei programmi che rileva le vulnerabilità di sicurezza nel codice Java, Python e JavaScript.													
Quali linguaggi di programmazione sono supportati?	Il profilatore CodeGuru attualmente supporta i linguaggi Java, Python (in anteprima) e JVM come Scala e Kotlin.													
Come inizio a utilizzare codeguru security?	Visita la console di CodeGuru per integrare CodeGuru Security nel tuo ciclo di vita da sviluppatore. Puoi integrarlo in strumenti di integrazione e distribuzione continua (CI/CD), nella scansione dei repository e negli ambienti di sviluppo integrati (IDE).													
Codeguru security accede al mio codice?	CodeGuru Security richiede l'accesso in sola lettura al tuo codice allo scopo di generare i suggerimenti. La tua fiducia, la tua privacy e la sicurezza dei tuoi contenuti rappresentano la nostra massima priorità. Implementiamo controlli adeguati, tra cui la crittografia durante i trasferimenti, per impedire l'accesso o la divulgazione non autorizzati dei tuoi contenuti e per garantire che l'utilizzo da parte nostra sia conforme ai nostri impegni nei tuoi confronti. Supportiamo anche le chiavi KMS del gestore clienti (CMCMK) per la crittografia. Per ulteriori informazioni, consulta le Domande frequenti sulla privacy dei dati.													
Codeguru security conserva una copia del mio codice?	No, CodeGuru Security non archivia il tuo codice sorgente.													
In che modo codeguru security viene addestrato per fornire suggerimenti intelligenti?	CodeGuru Security viene addestrato utilizzando rule mining e modelli di machine learning supervisionati che utilizzano una combinazione di regressione logistica e reti neurali. Ad esempio, durante la fase di addestramento per la perdita di dati sensibili, il servizio esegue un'analisi completa del codice in cerca dei percorsi che utilizzano la risorsa o i dati sensibili, crea funzioni che li rappresentano e le utilizza come input per i modelli di regressione logistica e per le reti neurali convoluzionali.													
Quali integrazioni supporta codeguru security?	CodeGuru Security è integrato con la scansione del codice Amazon Inspector per Lambda. Presto saranno disponibili ulteriori integrazioni con repository e strumenti CI/CD.													
